simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
705,平路C,黄荣远堂,220,0,False,220,0,False,0,False
706,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
707,福建路路口,许家园,30,0,False,30,0,False,0,False
708,许家园,三岔路口A,200,500,True,250,0,False,50,True
709,轮渡码头入口,音乐厅,380,500,True,430,0,False,50,True
710,黄荣远堂,音乐厅,100,0,False,100,0,False,0,False
711,海天堂构,福建路路口,80,0,False,80,0,False,0,False
712,音乐厅,许家园,170,10,False,170,10,False,0,False
713,海天堂构,陡坡B,220,0,False,220,0,False,0,False
714,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
715,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
716,天主堂,三岔路口A,130,500,True,180,0,False,50,True
717,天主堂,陡坡B,100,0,False,100,0,False,0,False
718,平路C,轮渡码头入口,110,0,False,110,0,False,0,False
719,黄荣远堂,音乐厅,100,0,False,100,0,False,0,False
720,协和礼拜堂,许家园,150,0,False,150,0,False,0,False
721,福建路路口,天主堂,40,0,False,40,0,False,0,False
722,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
723,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
724,许家园,天主堂,70,0,False,70,0,False,0,False
725,协和礼拜堂,轮渡码头入口,100,500,True,150,0,False,50,True
726,福建路路口,音乐厅,160,0,False,160,0,False,0,False
727,海天堂构,轮渡码头入口,300,500,True,350,0,False,50,True
728,音乐厅,轮渡码头入口,380,500,True,430,0,False,50,True
729,协和礼拜堂,轮渡码头入口,100,500,True,150,0,False,50,True
730,轮渡码头入口,海天堂构,300,510,True,350,0,False,50,True
731,音乐厅,许家园,170,10,False,170,10,False,0,False
732,轮渡码头入口,陡坡B,80,500,True,170,0,False,90,True
733,音乐厅,平路C,320,0,False,320,0,False,0,False
734,福建路路口,黄荣远堂,60,0,False,60,0,False,0,False
735,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
736,海天堂构,轮渡码头入口,300,500,True,350,0,False,50,True
737,轮渡码头入口,黄荣远堂,280,500,True,330,0,False,50,True
738,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
739,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
740,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
741,福建路路口,三岔路口A,170,500,True,220,0,False,50,True
742,三岔路口A,天主堂,130,500,True,180,0,False,50,True
743,音乐厅,协和礼拜堂,280,0,False,280,0,False,0,False
744,海天堂构,三岔路口A,250,500,True,300,0,False,50,True
745,福建路路口,陡坡B,140,0,False,140,0,False,0,False
746,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
747,三岔路口A,协和礼拜堂,50,500,True,100,0,False,50,True
748,三岔路口A,海天堂构,250,510,True,300,0,False,50,True
749,协和礼拜堂,陡坡B,20,0,False,20,0,False,0,False
750,海天堂构,黄荣远堂,20,0,False,20,0,False,0,False
751,三岔路口A,许家园,200,500,True,250,0,False,50,True
752,三岔路口A,音乐厅,330,500,True,380,0,False,50,True
753,三岔路口A,许家园,200,500,True,250,0,False,50,True
754,福建路路口,平路C,160,0,False,160,0,False,0,False
755,协和礼拜堂,天主堂,80,0,False,80,0,False,0,False
756,音乐厅,福建路路口,160,0,False,160,0,False,0,False
757,协和礼拜堂,轮渡码头入口,100,500,True,150,0,False,50,True
758,海天堂构,平路C,240,0,False,240,0,False,0,False
759,海天堂构,天主堂,120,0,False,120,0,False,0,False
760,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
761,许家园,福建路路口,30,0,False,30,0,False,0,False
762,三岔路口A,天主堂,130,500,True,180,0,False,50,True
763,许家园,天主堂,70,0,False,70,0,False,0,False
764,协和礼拜堂,海天堂构,200,10,False,200,0,False,0,True
765,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
766,协和礼拜堂,黄荣远堂,180,0,False,180,0,False,0,False
767,平路C,三岔路口A,60,0,False,60,0,False,0,False
768,天主堂,轮渡码头入口,180,500,True,230,0,False,50,True
769,陡坡B,海天堂构,220,10,False,220,0,False,0,True
770,三岔路口A,平路C,60,0,False,60,0,False,0,False
771,海天堂构,平路C,240,0,False,240,0,False,0,False
772,海天堂构,协和礼拜堂,200,0,False,200,0,False,0,False
773,陡坡B,海天堂构,220,10,False,220,0,False,0,True
774,音乐厅,海天堂构,120,0,False,120,0,False,0,False
775,福建路路口,轮渡码头入口,220,500,True,270,0,False,50,True
776,黄荣远堂,许家园,70,10,False,70,10,False,0,False
777,黄荣远堂,平路C,220,0,False,220,0,False,0,False
778,天主堂,福建路路口,40,0,False,40,0,False,0,False
779,天主堂,协和礼拜堂,80,0,False,80,0,False,0,False
780,协和礼拜堂,海天堂构,200,10,False,200,0,False,0,True
781,三岔路口A,陡坡B,30,500,True,120,0,False,90,True
782,许家园,音乐厅,170,10,False,170,10,False,0,False
783,轮渡码头入口,天主堂,180,500,True,230,0,False,50,True
784,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
785,海天堂构,黄荣远堂,20,0,False,20,0,False,0,False
786,平路C,许家园,190,0,False,190,0,False,0,False
