simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
912,福建路中段,黄荣远堂,40,20,False,40,20,False
913,李传别宅,轮渡码头入口,170,520,True,190,20,False
914,轮渡码头入口,协和礼拜堂,80,0,False,80,0,False
915,黄荣远堂,仰高别墅,100,410,True,100,410,True
916,轮渡码头入口,鹿礁路口,50,0,False,50,0,False
917,仰高别墅,轮渡码头入口,360,950,True,380,450,True
918,李传别宅,鹿礁路口,120,520,True,140,20,False
919,海天堂构,许家园,70,20,False,70,20,False
920,黄荣远堂,许家园,30,10,False,30,10,False
921,天主堂,李传别宅,50,20,False,50,20,False
922,海天堂构,轮渡码头入口,300,550,True,320,50,False
923,仰高别墅,许家园,130,420,True,130,420,True
924,福建路中段,鹿礁路口,180,550,True,200,50,False
925,许家园,天主堂,180,80,False,180,80,False
926,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
927,海天堂构,福建路中段,70,0,False,70,0,False
928,许家园,轮渡码头入口,300,580,True,320,80,False
929,海天堂构,许家园,70,20,False,70,20,False
930,海天堂构,鹿礁路口,250,550,True,270,50,False
931,仰高别墅,海天堂构,60,400,True,60,400,True
932,福建路中段,李传别宅,60,30,False,60,30,False
933,海天堂构,协和礼拜堂,220,550,True,300,50,False
934,黄荣远堂,天主堂,150,70,False,150,70,False
935,轮渡码头入口,鹿礁路口,50,0,False,50,0,False
936,鹿礁路口,许家园,250,580,True,270,80,False
937,天主堂,李传别宅,50,20,False,50,20,False
938,天主堂,鹿礁路口,70,500,True,90,0,False
939,协和礼拜堂,海天堂构,220,550,True,300,50,False
940,李传别宅,许家园,130,60,False,130,60,False
941,海天堂构,轮渡码头入口,300,550,True,320,50,False
942,鹿礁路口,海天堂构,250,550,True,270,50,False
943,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
944,仰高别墅,轮渡码头入口,360,950,True,380,450,True
945,天主堂,海天堂构,180,50,False,180,50,False
946,海天堂构,仰高别墅,60,400,True,60,400,True
947,福建路中段,鹿礁路口,180,550,True,200,50,False
948,福建路中段,黄荣远堂,40,20,False,40,20,False
949,轮渡码头入口,李传别宅,170,520,True,190,20,False
950,黄荣远堂,协和礼拜堂,190,570,True,270,70,False
951,许家园,黄荣远堂,30,10,False,30,10,False
952,轮渡码头入口,福建路中段,230,550,True,250,50,False
953,协和礼拜堂,海天堂构,220,550,True,300,50,False
954,许家园,仰高别墅,130,420,True,130,420,True
955,海天堂构,协和礼拜堂,220,550,True,300,50,False
956,许家园,李传别宅,130,60,False,130,60,False
957,海天堂构,李传别宅,130,30,False,130,30,False
958,轮渡码头入口,许家园,300,580,True,320,80,False
959,海天堂构,协和礼拜堂,220,550,True,300,50,False
960,天主堂,协和礼拜堂,40,500,True,120,0,False
961,天主堂,李传别宅,50,20,False,50,20,False
962,天主堂,许家园,180,80,False,180,80,False
963,黄荣远堂,仰高别墅,100,410,True,100,410,True
964,许家园,天主堂,180,80,False,180,80,False
965,鹿礁路口,许家园,250,580,True,270,80,False
966,海天堂构,鹿礁路口,250,550,True,270,50,False
967,许家园,鹿礁路口,250,580,True,270,80,False
968,海天堂构,天主堂,180,50,False,180,50,False
969,鹿礁路口,黄荣远堂,220,570,True,240,70,False
970,鹿礁路口,黄荣远堂,220,570,True,240,70,False
971,福建路中段,李传别宅,60,30,False,60,30,False
972,轮渡码头入口,协和礼拜堂,80,0,False,80,0,False
973,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
974,协和礼拜堂,天主堂,40,500,True,120,0,False
975,鹿礁路口,天主堂,70,500,True,90,0,False
976,仰高别墅,李传别宅,190,430,True,190,430,True
977,许家园,天主堂,180,80,False,180,80,False
978,李传别宅,协和礼拜堂,90,520,True,170,20,False
979,鹿礁路口,李传别宅,120,520,True,140,20,False
980,仰高别墅,福建路中段,130,400,True,130,400,True
981,李传别宅,许家园,130,60,False,130,60,False
982,李传别宅,鹿礁路口,120,520,True,140,20,False
983,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
984,黄荣远堂,协和礼拜堂,190,570,True,270,70,False
985,福建路中段,天主堂,110,50,False,110,50,False
986,协和礼拜堂,黄荣远堂,190,570,True,270,70,False
987,天主堂,许家园,180,80,False,180,80,False
988,许家园,黄荣远堂,30,10,False,30,10,False
989,李传别宅,海天堂构,130,30,False,130,30,False
990,轮渡码头入口,许家园,300,580,True,320,80,False
991,许家园,协和礼拜堂,220,580,True,300,80,False
992,许家园,仰高别墅,130,420,True,130,420,True
993,协和礼拜堂,仰高别墅,280,950,True,360,450,True
994,李传别宅,鹿礁路口,120,520,True,140,20,False
995,仰高别墅,轮渡码头入口,360,950,True,380,450,True
996,天主堂,李传别宅,50,20,False,50,20,False
997,李传别宅,许家园,130,60,False,130,60,False
998,海天堂构,李传别宅,130,30,False,130,30,False
999,轮渡码头入口,李传别宅,170,520,True,190,20,False
1000,许家园,黄荣远堂,30,10,False,30,10,False
